262	637
262	636
473	687
4	753
21	687
79	696
72	812
265	826
442	599
442	633
13	688
13	719
515	687
581	688
581	719
581	718
474	687
166	620
68	736
28	725
259	687
259	620
189	718
470	687
271	686
562	601
562	687
562	831
305	620
49	807
54	767
469	687
343	724
55	807
569	707
569	706
92	803
546	621
522	805
138	707
138	805
138	706
138	705
129	687
328	805
32	727
31	727
9	724
9	723
175	640
43	641
157	650
516	687
284	707
15	724
10	725
169	620
169	619
169	830
264	826
340	687
276	601
276	687
115	743
285	707
268	621
268	807
268	808
30	644
89	728
89	760
185	607
185	612
185	603
127	726
127	687
127	830
128	687
463	647
463	645
136	807
136	734
524	640
567	688
299	725
299	726
299	620
299	830
476	719
476	688
466	794
520	617
274	718
274	647
8	753
543	607
543	603
156	641
306	687
22	620
360	695
81	696
81	821
116	827
327	707
435	650
242	757
346	753
170	687
137	734
258	620
258	619
258	830
378	755
389	808
