1	117
2	103
3	103
4	101
4	106
5	103
7	119
8	103
9	103
10	103
11	103
11	119
12	101
13	102
13	103
13	122
15	100
19	105
20	105
20	121
21	111
22	101
22	104
22	119
23	121
24	117
24	119
25	111
25	121
26	103
26	104
27	106
29	101
29	106
29	121
30	105
31	117
33	119
37	103
39	106
39	121
47	103
48	119
49	103
49	106
49	117
51	104
51	121
52	119
53	119
55	103
56	121
57	121
58	101
60	106
60	119
60	121
61	119
62	119
63	103
66	117
66	119
71	103
71	122
72	103
72	122
73	103
73	122
77	103
77	122
79	119
79	121
80	101
81	103
81	121
82	104
82	106
86	121
87	106
88	106
89	103
89	104
89	119
89	121
90	100
91	101
91	106
95	106
98	101
99	106
