4460	17843
1132	17801
15516	17773
2320	17788
8815	17769
8815	17775
10632	17785
10632	17792
10598	17766
4979	17780
7666	17779
128	17844
8451	17775
9123	17760
9567	17772
11535	17776
7500	17778
7500	17779
6560	17753
11357	17778
3807	17747
3807	17790
180	17844
7450	17797
11571	17776
4808	17802
11429	17776
4146	17750
8498	17790
11475	17776
2520	17747
2520	17790
573	17794
4338	17791
4338	17804
16588	17758
11004	17776
12154	17828
6465	17752
6465	17757
11379	17778
5111	17791
5111	17801
15116	17806
4659	17748
14407	17825
14638	17825
6440	17752
6440	17755
1692	17758
4165	17752
4165	17754
12140	17828
14236	17772
2408	17795
11808	17828
11573	17776
8776	17764
8798	17769
8798	17775
5110	17791
5110	17801
8421	17761
8421	17762
4228	17783
13248	17800
7329	17776
9218	17758
9218	17759
10554	17766
6580	17753
12805	17799
12994	17844
17472	17844
568	17794
6914	17828
11900	17775
11107	17790
13642	17782
7543	17779
16837	17802
9070	17760
11915	17775
14567	17825
15970	17829
14616	17825
11494	17776
15840	17747
15840	17790
11392	17778
1059	17760
14656	17825
4326	17791
4326	17804
14605	17825
12228	17788
14646	17825
170	17844
9701	17835
10784	17842
11554	17776
16645	17759
8679	17775
6547	17753
2377	17795
5198	17825
12711	17799
634	17760
9546	17772
1037	17760
8861	17775
16316	17747
16316	17770
16316	17790
10642	17785
10642	17792
6409	17752
6409	17755
17694	17779
4296	17791
4296	17804
1168	17760
5248	17826
17420	17776
13547	17844
591	17794
11167	17791
11167	17801
12753	17844
12768	17844
198	17844
4040	17752
4040	17783
11029	17776
12202	17788
6867	17795
11862	17828
10954	17825
7293	17793
15750	17806
14426	17825
14933	17827
4490	17843
6369	17750
14399	17825
1158	17760
12425	17784
13347	17844
13272	17800
16127	17753
9384	17838
13291	17844
10331	17780
10331	17781
10331	17792
6550	17753
4309	17791
4309	17804
8484	17790
17709	17779
17674	17844
7283	17793
2308	17788
7228	17793
11547	17776
14040	17836
9207	17758
9207	17759
12727	17844
9094	17760
7169	17782
16375	17747
16375	17770
16375	17777
16375	17794
13374	17844
12710	17799
11863	17828
13786	17764
14392	17825
7601	17779
12852	17844
14769	17827
11203	17791
11203	17801
12173	17788
15068	17827
14651	17825
17735	17778
17735	17779
3842	17752
3842	17786
